Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"Pennant Hills - Cheltenham",2461,402,0,0,16,4944,276,39,58,42,210,47,637,873,61,6496,16560,
"Eastwood - Denistone",2910,515,9,3,34,5597,437,53,48,54,437,55,497,886,99,9312,20929,
"Gladesville - Huntleys Point",216,1292,149,0,22,4044,227,43,76,51,187,35,405,563,55,4455,11836,
"Hunters Hill - Woolwich",87,487,203,6,24,2534,151,15,30,35,107,18,362,353,35,3874,8331,
"Macquarie Park - Marsfield",1914,1237,3,4,15,4161,338,32,81,53,940,36,372,889,92,8786,18951,
"North Ryde - East Ryde",452,889,5,0,9,3148,233,30,47,51,197,26,288,481,34,4167,10062,
"West Ryde - Meadowbank",3437,369,34,3,19,4596,313,52,55,53,298,34,326,716,61,5893,16263,
"Putney",85,184,45,0,5,1314,75,13,13,10,33,7,130,129,23,1255,3330,
"Ryde",1193,2128,62,0,29,7281,518,92,121,66,360,66,514,976,99,9095,22595,
"Ashcroft - Busby - Miller",385,177,0,0,12,2939,354,69,17,10,41,18,78,287,133,8615,13143,
"Austral - Greendale",182,16,0,0,0,2270,156,265,8,4,135,31,430,262,87,3405,7261,
"Cobbitty - Leppington",770,47,0,3,0,5974,286,219,21,9,101,46,465,816,160,4730,13644,
"Badgerys Creek",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,30,50,
"Cecil Hills",269,65,0,0,4,2384,189,57,10,6,24,9,112,198,27,2218,5575,
"Green Valley",481,152,0,0,12,3610,339,81,10,10,40,17,112,299,66,4652,9879,
"Hinchinbrook",481,164,4,0,5,3935,303,75,9,4,21,28,134,336,69,3949,9502,
"Hoxton Park - Carnes Hill - Horningsea Park",545,88,0,0,10,3788,272,64,10,11,52,18,112,355,40,3233,8601,
"West Hoxton - Middleton Grange",602,105,7,0,8,5175,351,104,20,8,28,19,228,471,79,3949,11148,
"Bonnyrigg Heights - Bonnyrigg",643,187,4,3,8,4238,412,93,8,7,38,17,152,336,48,6684,12883,
"Bossley Park - Abbotsbury",634,198,4,0,12,5653,477,159,10,9,62,33,220,524,80,7422,15494,
"Cabramatta - Lansvale",1487,85,0,3,17,4914,759,90,19,24,407,41,137,428,154,11697,20281,
"Cabramatta West - Mount Pritchard",637,143,0,4,8,4093,487,108,22,10,73,23,153,323,80,7478,13629,
"Canley Vale - Canley Heights",1296,108,0,0,15,4437,591,90,12,19,133,35,168,371,113,9436,16821,
"Edensor Park",419,89,0,0,3,2836,257,65,0,0,30,21,117,271,44,3837,8009,
