Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by SA4 (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"SA4 (POW)","Sydney - Baulkham Hills and Hawkesbury","Sydney - Blacktown","Sydney - City and Inner South","Sydney - Eastern Suburbs","Sydney - Inner South West","Sydney - Inner West","Sydney - North Sydney and Hornsby","Sydney - Northern Beaches","Sydney - Outer South West","Sydney - Outer West and Blue Mountains","Sydney - Parramatta","Sydney - Ryde","Sydney - South West","Sydney - Sutherland","Total",
"Wahroonga (East) - Warrawee",203,90,1933,86,66,177,4165,295,14,25,294,546,58,4,7961,
"Cremorne - Cammeray",99,59,4337,281,84,187,4200,487,7,18,208,465,45,33,10499,
"Crows Nest - Waverton",116,32,4417,240,98,234,4350,315,8,25,269,662,44,21,10832,
"Mosman",85,60,5571,336,101,223,5686,702,9,20,211,436,58,24,13528,
"Neutral Bay - Kirribilli",114,50,4642,330,87,207,3703,405,16,25,210,463,43,7,10303,
"North Sydney - Lavender Bay",57,29,2688,157,62,128,2467,114,11,16,137,297,32,8,6220,
"Balgowlah - Clontarf - Seaforth",41,30,3089,164,47,120,1711,3863,7,11,150,280,22,5,9532,
"Manly - Fairlight",68,37,4668,166,52,126,1693,4570,7,11,139,265,16,15,11840,
"Avalon - Palm Beach",35,15,746,81,16,55,575,3926,3,8,74,146,10,4,5708,
"Bayview - Elanora Heights",41,22,628,42,15,65,646,2914,3,8,82,184,17,5,4675,
"Newport - Bilgola",52,44,837,62,23,66,782,4266,0,9,96,224,18,6,6503,
"Warriewood - Mona Vale",78,66,1348,97,37,138,1341,7564,6,21,223,395,26,13,11366,
"Beacon Hill - Narraweena",21,24,936,50,32,69,859,3993,3,6,102,208,11,3,6315,
"Cromer",12,13,495,36,9,32,411,2257,0,4,43,106,5,0,3430,
"Dee Why - North Curl Curl",67,50,2382,172,59,124,1743,8107,9,11,218,332,32,23,13331,
"Forestville - Killarney Heights",43,23,1344,83,32,85,1426,2165,3,8,106,270,16,6,5615,
"Frenchs Forest - Belrose",68,67,2199,153,70,151,2310,5675,5,20,250,533,29,10,11538,
"Freshwater - Brookvale",57,51,2805,152,52,157,1589,5712,4,16,154,326,32,17,11127,
