Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"Main Statistical Area Structure (Main ASGS) (UR) by SA2 (POW) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

" UR - Sydney (SA2)"
"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"Normanhurst - Thornleigh - Westleigh",319,71,0,0,6,3013,237,38,18,10,152,33,428,456,40,0,4814,
"Hornsby - East",897,166,8,0,10,5145,404,27,55,27,678,33,162,1013,66,0,8697,
"Hornsby - West",214,34,0,0,0,1414,94,4,14,8,145,9,221,231,19,0,2413,
"Waitara - Wahroonga (West)",164,24,0,0,5,1290,104,7,9,5,116,6,157,213,12,0,2112,
"Gordon - Killara",676,42,0,0,6,2847,140,13,22,10,148,35,670,481,40,0,5133,
"Lindfield - Roseville",540,42,0,0,3,2381,133,17,21,12,201,32,748,438,35,0,4595,
"Pymble",455,35,0,3,8,3302,121,18,23,11,125,29,532,425,33,0,5119,
"St Ives",177,66,0,0,5,2309,164,26,24,15,157,36,687,446,22,0,4143,
"Turramurra",304,30,0,0,3,2008,152,14,10,5,135,17,638,432,22,0,3774,
"Wahroonga (East) - Warrawee",320,39,0,0,7,3484,185,14,27,5,246,24,651,612,38,0,5654,
"Cremorne - Cammeray",302,306,10,0,10,1497,123,17,25,11,283,26,574,305,32,0,3511,
"Crows Nest - Waverton",1512,697,8,0,20,3784,290,10,117,51,596,50,575,646,63,0,8419,
"Mosman",537,733,26,6,14,4329,223,43,93,45,508,50,1064,771,79,0,8512,
"Neutral Bay - Kirribilli",1195,566,27,6,16,2722,175,12,56,40,540,26,526,524,53,0,6473,
"North Sydney - Lavender Bay",21242,5601,259,19,191,10702,1012,30,550,493,2442,174,1195,2286,351,0,46543,
"Balgowlah - Clontarf - Seaforth",114,289,11,0,10,2660,190,36,46,44,290,41,711,481,51,0,4968,
"Manly - Fairlight",409,813,98,0,8,3798,333,29,113,249,905,44,788,888,71,0,8539,
"Avalon - Palm Beach",39,109,4,5,4,1750,133,36,20,29,204,34,692,288,43,0,3387,
"Bayview - Elanora Heights",22,43,9,0,0,1061,73,24,7,11,77,28,493,161,12,0,2037,
"Newport - Bilgola",21,103,6,3,0,1301,78,28,15,7,134,34,591,236,16,0,2578,
"Warriewood - Mona Vale",133,668,8,0,10,8417,532,89,75,98,407,40,828,1144,118,0,12580,
"Beacon Hill - Narraweena",6,50,7,0,0,673,80,24,6,9,56,20,315,131,13,0,1388,
"Cromer",23,71,8,0,3,1963,112,29,26,42,72,9,172,184,27,0,2748,
"Dee Why - North Curl Curl",76,298,4,0,10,3176,227,33,43,27,543,35,492,546,43,0,5556,
"Forestville - Killarney Heights",48,59,3,0,6,1348,60,20,9,10,113,9,378,269,21,0,2352,
