Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by DTWP - 2 Digit Level"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"DTWP - 2 Digit Level","Nil distance","Over 0 km to less than 1 km","1 km to less than 2.5 km","2.5 km to less than 5 km","5 km to less than 10 km","10 km to less than 20 km","20 km to less than 30 km","30 km to less than 50 km","50 km to less than 100 km","100 km to less than 250 km","250 km and over","Not applicable","Total",
"Ashcroft - Busby - Miller",167,55,174,570,783,1194,744,534,19,13,29,8862,13143,
"Austral - Greendale",558,136,126,150,236,936,647,622,115,13,18,3698,7261,
"Cobbitty - Leppington",621,97,124,261,799,1830,1270,2296,1008,29,47,5247,13644,
"Badgerys Creek",0,10,6,0,0,0,3,3,0,0,0,30,50,
"Cecil Hills",216,43,66,105,717,766,704,545,30,5,21,2366,5575,
"Green Valley",205,45,169,286,1135,1129,1035,933,22,8,29,4892,9879,
"Hinchinbrook",238,48,136,369,1048,1304,1141,989,35,11,26,4149,9502,
"Hoxton Park - Carnes Hill - Horningsea Park",236,88,146,291,746,1330,960,1250,30,9,30,3476,8601,
"West Hoxton - Middleton Grange",382,59,202,255,956,1909,1293,1676,66,10,40,4299,11148,
"Bonnyrigg Heights - Bonnyrigg",258,68,184,327,1592,1452,938,1019,34,10,34,6969,12883,
"Bossley Park - Abbotsbury",465,77,439,910,1453,2053,1063,1187,30,14,19,7775,15494,
"Cabramatta - Lansvale",251,385,673,852,1467,2111,1557,846,58,15,63,12004,20281,
"Cabramatta West - Mount Pritchard",261,130,271,833,1229,1385,795,915,27,14,31,7740,13629,
"Canley Vale - Canley Heights",275,164,485,746,1509,1743,1131,957,55,18,49,9695,16821,
"Edensor Park",253,41,139,366,948,871,587,737,31,13,16,4003,8009,
"Fairfield",171,207,379,454,1021,1232,938,438,19,3,37,9415,14318,
"Fairfield - West",280,128,362,914,1161,1598,741,811,37,3,34,9128,15207,
"Greenfield Park - Prairiewood",154,51,150,320,673,728,381,520,14,6,16,3736,6756,
"Horsley Park - Kemps Creek",277,45,53,82,294,613,270,249,13,5,7,1768,3663,
"Smithfield - Wetherill Park",309,155,467,946,1105,1706,680,877,22,15,18,8266,14573,
"St Johns Park - Wakeley",175,60,142,435,971,974,542,747,16,11,16,4929,9020,
"Wetherill Park Industrial",0,10,0,0,0,0,0,0,0,0,0,19,36,
"Casula",298,128,228,662,981,1413,1177,1281,73,23,22,6016,12295,
"Chipping Norton - Moorebank",390,182,487,891,1295,2111,1895,990,79,18,42,6219,14599,
"Holsworthy - Wattle Grove",814,125,296,646,1248,1897,2404,2328,558,26,77,5600,16015,
"Liverpool",245,519,888,704,962,2073,1407,1255,64,11,55,13263,21448,
"Lurnea - Cartwright",187,68,192,475,359,840,577,476,31,6,18,5711,8938,
"Prestons - Edmondson Park",349,90,209,525,1255,1632,1412,2061,101,17,52,5338,13050,
"Warwick Farm",52,142,200,163,224,477,337,253,8,0,14,2880,4741,
"Gymea - Grays Point",619,143,558,1184,1247,1326,2792,684,133,29,57,5212,13991,
"Miranda - Yowie Bay",498,380,914,1316,847,1506,2298,454,100,13,58,6533,14911,
"Sylvania - Taren Point",498,141,370,941,1103,1638,1566,329,70,19,61,6429,13158,
"Caringbah",241,252,730,776,560,1122,1550,373,93,15,57,3802,9575,
"Caringbah South",419,115,432,1144,568,978,1591,344,77,10,49,3882,9614,
"Cronulla - Kurnell - Bundeena",818,597,708,833,1584,1846,3643,1544,543,58,142,7744,20061,
"Lilli Pilli - Port Hacking - Dolans Bay",177,26,24,230,301,240,445,126,23,3,12,913,2521,
"Woolaware - Burraneer",332,133,356,590,481,608,1070,279,49,10,41,2254,6195,
"Heathcote - Waterfall",170,69,140,261,188,735,530,875,57,6,17,2198,5234,
"Illawong - Alfords Point",437,59,113,221,633,1815,1647,489,84,6,27,3128,8645,
"Menai - Lucas Heights - Woronora",677,177,578,541,1216,3041,2606,2098,169,23,67,5846,17035,
"Oyster Bay - Como - Jannali",703,161,305,945,1527,1664,3763,986,132,22,71,6286,16561,
"Royal National Park",0,7,0,0,0,3,3,4,0,0,0,7,25,
"Sutherland - Kirrawee",466,339,683,967,1417,1513,3779,955,175,12,58,6766,17140,
"Engadine",461,215,481,323,729,1938,1459,2247,174,21,52,4907,12993,
"Loftus - Yarrawarrah",203,32,116,313,649,617,872,688,56,4,27,2114,5698,
"Woronora Heights",136,25,14,101,192,553,290,691,72,9,11,879,2965,
"Total",121491,69787,139804,237967,420528,525525,286180,186667,44377,5097,12521,1606449,3656387,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
