Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by INDP - 1 Digit Level"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"Chullora",0,0,29,0,45,12,47,21,27,7,31,9,37,27,25,23,44,4,21,21,8,281,711,
"Condell Park",3,0,352,23,490,143,478,262,305,75,164,63,281,133,173,301,471,48,228,210,91,4354,8652,
"Greenacre - Mount Lewis",22,6,501,54,1033,283,1013,480,730,153,413,137,475,311,382,701,933,91,404,409,230,10923,19681,
"Padstow",21,13,513,68,679,281,705,460,582,149,462,127,567,246,487,593,775,124,310,267,127,6123,13678,
"Panania - Milperra - Picnic Point",35,17,775,148,1235,477,1083,697,903,206,736,215,834,380,819,1218,1202,219,462,390,143,8347,20559,
"Revesby",8,9,507,62,682,295,694,536,533,141,455,104,511,220,437,592,749,104,307,252,109,5833,13143,
"Yagoona - Birrong",10,3,662,54,763,238,825,412,601,126,326,104,403,297,328,496,830,108,365,386,186,8681,16212,
"Bankstown - North",14,0,453,27,449,207,720,445,512,103,251,88,362,240,250,341,696,68,243,296,156,6638,12582,
"Bankstown - South",6,3,541,29,439,196,589,414,446,99,242,76,306,197,219,289,670,61,320,314,157,7005,12606,
"Belmore - Belfield",14,6,430,38,846,258,776,666,555,151,410,133,485,365,403,546,947,106,355,336,159,7528,15513,
"Canterbury (South) - Campsie",20,8,822,35,1207,394,1469,1664,868,251,637,190,803,862,447,732,1616,191,540,612,400,12063,25835,
"Kingsgrove (North) - Earlwood",18,8,474,61,1059,380,1019,632,650,321,640,210,965,344,634,1025,1026,180,497,355,180,8633,19311,
"Punchbowl",13,0,527,34,812,231,857,533,674,111,320,94,341,278,297,435,729,61,342,363,228,8806,16083,
"Roselands",10,4,314,31,556,209,619,372,470,116,315,99,371,209,312,405,531,71,276,252,100,5176,10813,
"Lakemba",11,0,372,26,319,152,682,540,701,103,167,44,319,282,323,263,638,50,212,268,212,7063,12733,
"Wiley Park",4,8,223,16,230,104,502,357,414,65,145,48,174,199,203,176,398,29,126,154,93,4082,7740,
"Hurstville",16,13,502,49,630,363,1237,1290,646,230,721,225,915,513,330,541,1138,138,308,458,243,9632,20134,
"Mortdale - Penshurst",28,15,635,82,780,407,1170,946,699,291,891,222,1066,479,686,1003,1548,186,400,409,153,7697,19780,
"Narwee - Beverly Hills",13,4,328,43,463,216,629,531,442,126,385,94,484,177,314,417,662,91,216,218,120,5478,11438,
"Oatley - Hurstville Grove",20,8,314,59,447,197,535,316,346,150,497,147,717,172,350,679,741,101,202,209,67,4139,10390,
"Peakhurst - Lugarno",22,7,437,73,776,327,700,436,528,173,528,156,740,283,485,788,877,148,354,294,102,6451,14672,
"Riverwood",4,4,280,31,327,150,470,388,338,91,263,98,341,196,150,242,453,65,164,194,110,5141,9508,
"South Hurstville - Blakehurst",33,3,554,54,819,414,1193,1037,615,199,739,330,1155,465,456,739,1345,150,376,392,180,8854,20101,
"Arncliffe - Bardwell Valley",15,13,401,54,829,338,1037,1100,879,321,838,218,1132,527,529,680,935,175,354,383,237,7474,18469,
"Bexley",8,7,577,69,918,339,1237,1130,1032,243,743,194,927,585,619,827,1535,173,415,414,208,9546,21750,
"Kingsgrove (South) - Bardwell Park",8,9,289,41,483,185,542,392,416,151,420,114,523,184,323,492,597,67,225,195,101,4596,10348,
"Kogarah",0,4,218,28,280,150,555,574,390,120,410,96,606,289,241,296,1029,69,154,169,95,3699,9456,
"Kogarah Bay - Carlton - Allawah",8,13,394,35,554,278,848,712,604,173,522,154,600,334,382,487,1051,113,296,263,116,5339,13262,
"Monterey - Brighton-le-Sands - Kyeemagh",15,10,262,36,555,234,661,453,612,138,364,147,559,290,359,454,689,88,248,260,141,5171,11728,
"Rockdale - Banksia",18,13,436,46,592,293,1058,1430,738,186,583,113,805,690,476,482,1147,135,313,362,202,7080,17184,
"Sans Souci - Ramsgate",14,3,349,50,696,271,760,444,738,155,369,199,614,242,398,509,844,121,313,274,96,5847,13316,
"Concord - Mortlake - Cabarita",23,9,526,70,906,463,996,564,379,287,849,367,1183,341,547,1023,1264,177,388,351,121,7194,18005,
"Concord West - North Strathfield",20,31,555,78,724,530,1023,975,418,416,1254,427,1689,438,621,877,1233,184,349,492,173,8683,21179,
"Drummoyne - Rodd Point",36,14,371,42,683,411,772,547,305,356,879,286,1284,289,527,934,990,197,292,268,67,5591,15149,
"Five Dock - Abbotsford",18,17,464,68,738,383,830,567,410,373,913,308,1310,351,602,937,1053,219,390,345,95,6548,16930,
"Balmain",22,21,268,56,421,255,530,344,216,453,949,261,1603,280,410,740,806,231,190,277,40,4574,12952,
"Leichhardt - Annandale",15,21,493,100,672,418,970,823,387,932,1122,270,2264,463,854,1626,1614,484,425,404,110,6968,21438,
"Lilyfield - Rozelle",8,9,240,34,437,269,503,371,214,466,828,192,1305,244,450,657,749,206,232,221,74,3697,11413,
"Ashfield",17,9,452,51,602,310,1098,1421,488,428,820,191,1381,593,679,1131,1674,274,349,385,200,8908,21461,
"Burwood - Croydon",20,25,453,66,657,366,1084,1230,446,296,838,263,1172,474,493,875,1331,160,370,456,251,10312,21641,
"Canterbury (North) - Ashbury",8,6,204,21,392,171,425,355,238,209,342,107,519,229,359,562,635,129,190,171,58,3378,8698,
"Croydon Park - Enfield",15,4,368,64,769,257,766,518,386,215,466,161,745,287,506,848,1081,137,337,255,111,5951,14260,
"Dulwich Hill - Lewisham",17,3,339,57,471,236,696,587,353,493,582,147,1085,333,686,1102,1096,271,310,260,95,5045,14255,
"Haberfield - Summer Hill",12,10,253,48,380,182,525,460,210,352,481,136,993,220,470,824,868,189,224,188,68,4101,11186,
"Homebush",12,10,347,33,433,334,872,779,396,189,672,100,970,400,474,419,910,90,219,324,170,5575,13728,
"Strathfield",22,16,433,59,766,429,1224,1297,375,315,960,262,1624,563,375,699,1958,136,312,518,279,9257,21870,
"Strathfield South",5,0,91,13,126,76,149,101,97,43,130,52,149,66,88,175,195,31,78,51,31,1161,2909,
"Chatswood (East) - Artarmon",19,40,448,63,490,547,1069,1122,365,658,1509,397,2305,522,482,947,1408,175,388,468,193,10060,23670,
"Chatswood (West) - Lane Cove North",27,29,393,63,490,425,917,728,297,590,1024,237,2002,413,467,909,1324,159,338,393,124,5935,17267,
"Lane Cove - Greenwich",30,30,471,72,591,490,963,657,304,634,1482,407,2469,380,560,1226,1784,246,375,431,105,7851,21559,
"St Leonards - Naremburn",11,23,214,22,256,275,387,314,162,366,807,164,1289,213,239,405,673,123,137,183,50,2574,8898,
"Willoughby - Castle Cove - Northbridge",41,39,348,60,553,418,895,555,276,510,1472,398,2265,393,421,1015,1287,212,327,391,88,7691,19651,
"Asquith - Mount Colah",39,13,420,81,799,366,805,446,275,318,598,147,1064,344,532,1054,1371,163,396,292,97,4782,14393,
"Berowra - Brooklyn - Cowan",34,9,310,49,565,221,487,324,179,230,350,95,644,219,356,664,834,129,234,167,64,2976,9140,
"Normanhurst - Thornleigh - Westleigh",30,17,406,77,517,375,729,415,190,335,621,150,1188,287,497,1212,1196,158,289,260,73,5657,14678,
"Hornsby - East",15,6,264,38,279,273,642,445,205,244,437,100,822,240,227,414,1039,82,198,216,66,3449,9689,
"Hornsby - West",18,9,216,39,303,207,443,263,135,192,365,60,699,169,257,557,717,77,173,167,35,3490,8595,
"Waitara - Wahroonga (West)",10,9,182,31,178,184,332,217,110,213,450,101,726,169,213,348,634,51,146,137,54,3149,7656,
"Gordon - Killara",36,35,334,46,385,438,774,492,216,347,1087,273,1727,265,342,878,1224,119,245,350,115,7643,17373,
"Lindfield - Roseville",32,38,341,56,437,385,834,567,220,407,1294,347,2005,262,441,1008,1374,182,265,334,102,7304,18229,
"Pymble",34,17,317,43,360,388,572,392,165,305,741,167,1326,214,287,828,1077,123,183,265,78,4824,12722,
"St Ives",28,21,387,48,471,462,929,461,239,374,906,232,1561,277,302,898,1130,140,312,311,73,6615,16175,
"Turramurra",35,20,329,46,394,350,705,355,178,377,823,182,1417,234,355,957,1095,157,250,279,57,6917,15516,
"Wahroonga (East) - Warrawee",25,34,299,42,358,342,615,377,195,300,808,226,1344,204,292,895,1315,122,243,257,65,6047,14410,
"Cremorne - Cammeray",36,33,323,67,445,418,655,586,271,575,1377,353,2055,398,440,806,1100,220,282,317,86,5187,16027,
"Crows Nest - Waverton",33,27,319,58,444,392,632,484,240,647,1348,270,2398,374,581,831,1179,206,275,312,95,4540,15677,
"Mosman",50,52,406,63,558,448,897,723,308,564,1930,583,2728,434,584,1004,1399,308,372,499,120,9463,23463,
"Neutral Bay - Kirribilli",34,30,325,58,441,330,617,578,243,591,1351,271,2190,369,507,800,982,233,243,360,88,5291,15931,
"North Sydney - Lavender Bay",9,21,181,35,225,213,334,298,160,348,884,180,1430,223,335,468,569,109,146,212,48,3220,9640,
"Balgowlah - Clontarf - Seaforth",33,18,325,56,583,375,776,589,218,387,1090,331,1724,364,373,782,991,199,271,355,68,5477,15392,
"Manly - Fairlight",26,27,356,48,680,345,739,823,281,577,1323,362,2493,547,468,915,1084,260,333,488,109,6338,18618,
"Avalon - Palm Beach",50,14,286,29,661,221,539,346,144,266,297,164,824,232,180,550,649,130,197,276,67,3983,10104,
"Bayview - Elanora Heights",27,7,236,28,584,231,408,243,120,152,244,133,645,176,188,453,520,123,239,220,41,3780,8793,
"Newport - Bilgola",45,8,368,44,705,271,664,373,188,252,304,183,869,219,254,657,738,169,257,280,56,3694,10599,
"Warriewood - Mona Vale",45,26,650,68,1394,577,1189,671,374,367,494,298,1235,395,588,1082,1360,221,505,470,138,7043,19194,
"Beacon Hill - Narraweena",16,9,342,40,672,297,751,407,191,207,349,102,724,294,299,528,704,126,296,280,100,4347,11093,
"Cromer",12,6,184,14,388,161,375,244,110,121,174,88,375,142,180,322,401,67,140,152,37,2234,5925,
"Dee Why - North Curl Curl",23,20,704,90,1226,549,1590,1072,459,393,781,275,1366,616,581,975,1793,277,536,555,184,6533,20592,
"Forestville - Killarney Heights",5,11,249,31,404,247,518,305,186,254,473,134,870,190,205,598,601,97,254,179,76,3959,9845,
"Frenchs Forest - Belrose",39,23,494,62,899,572,1252,665,321,469,810,250,1584,386,503,1211,1304,231,517,416,130,7553,19704,
"Freshwater - Brookvale",30,20,479,83,1060,460,900,709,342,481,915,274,1623,439,550,1013,1218,240,415,415,107,5104,16879,
"Manly Vale - Allambie Heights",30,15,347,55,693,300,762,498,256,308,688,186,1143,357,389,705,943,170,287,279,70,4511,12992,
"Narrabeen - Collaroy",29,16,588,87,1446,592,1205,709,370,380,672,284,1427,479,602,1092,1418,241,474,474,107,7661,20370,
"Terrey Hills - Duffys Forest",18,4,85,15,195,70,160,108,47,52,103,45,205,64,61,142,198,34,89,83,23,1129,2933,
"Camden - Ellis Lane",58,61,439,88,853,220,534,288,336,76,164,124,349,199,446,749,705,80,241,180,62,4116,10372,
"Elderslie - Harrington Park",40,64,814,126,1315,428,1201,592,669,144,392,220,552,270,694,1077,1103,155,410,407,105,5048,15835,
"Mount Annan - Currans Hill",41,55,1211,179,1668,551,1720,895,1138,182,584,256,702,445,1170,1346,1640,220,589,551,160,5998,21309,
"Bradbury - Wedderburn",29,24,664,88,758,254,891,505,583,97,241,102,302,283,469,590,990,84,293,310,127,6826,14507,
"Campbelltown - Woodbine",33,15,718,75,608,273,891,529,556,149,342,126,371,274,467,557,1084,97,267,321,117,6864,14733,
"Claymore - Eagle Vale - Raby",30,11,927,94,938,360,1075,552,795,125,363,177,366,385,568,630,990,129,374,403,179,6377,15861,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",28,22,830,90,687,329,891,544,754,141,516,145,540,339,583,593,1115,82,297,396,133,6818,15869,
"Leumeah - Minto Heights",26,20,689,89,713,275,810,464,615,97,290,96,341,272,452,612,886,95,295,319,119,5680,13252,
"Macquarie Fields - Glenfield",16,5,914,82,630,337,864,557,844,155,551,97,546,362,659,647,1297,94,294,429,170,8757,18301,
"Minto - St Andrews",30,17,928,70,715,340,948,562,808,123,375,114,431,316,576,541,1107,86,294,381,145,6588,15484,
"Rosemeadow - Glen Alpine",29,24,854,106,844,308,1110,632,674,112,393,128,417,293,520,682,1125,110,314,380,143,7172,16370,
"Bargo",57,46,224,35,379,86,308,135,196,15,57,40,118,83,157,198,267,25,136,106,54,1813,4530,
"Douglas Park - Appin",62,93,421,79,726,147,442,203,283,53,146,88,250,145,349,539,440,72,212,171,38,2429,7388,
"Picton - Tahmoor - Buxton",190,180,683,118,1067,221,792,422,496,50,170,135,327,212,476,678,914,109,291,262,101,5327,13216,
"The Oaks - Oakdale",181,53,318,54,753,129,366,194,279,29,108,87,243,145,240,400,418,68,236,218,56,2457,7037,
"Blackheath - Megalong Valley",25,41,76,21,173,30,194,279,78,41,40,50,163,89,158,272,335,75,74,67,21,2368,4677,
"Blaxland - Warrimoo - Lapstone",48,18,520,126,865,273,724,492,321,192,347,207,669,241,889,1573,1215,183,303,264,59,5575,15108,
"Blue Mountains - North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,
"Katoomba - Leura",46,18,175,52,303,103,466,783,181,103,98,71,366,241,411,649,872,216,162,168,66,5784,11338,
"Lawson - Hazelbrook - Linden",49,6,295,65,411,99,435,339,225,83,153,68,301,136,525,794,884,113,179,141,44,3660,9009,
"Springwood - Winmalee",108,20,606,139,978,256,922,530,365,145,310,143,625,320,984,1669,1542,183,397,227,85,6882,17431,
"Wentworth Falls",12,14,80,36,185,42,226,204,120,42,59,59,179,75,221,346,384,60,76,66,20,2566,5074,
"Blue Mountains - South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,
"Cambridge Park",31,14,589,141,968,308,828,506,561,99,277,127,269,262,593,536,819,94,298,324,107,4612,12364,
"Castlereagh - Cranebrook",141,29,945,140,1458,454,1332,661,775,168,542,209,557,405,914,899,1253,177,483,476,172,5930,18126,
"Emu Plains - Leonay",31,20,496,117,805,249,650,402,323,85,304,98,364,189,631,746,793,106,266,261,65,4407,11401,
"Glenmore Park - Regentville",42,16,889,184,1177,437,1234,679,699,168,656,187,536,342,979,986,1260,156,471,390,125,4522,16144,
"Jamisontown - South Penrith",37,14,589,123,974,304,876,510,483,98,323,163,333,229,655,666,931,122,287,317,115,5554,13709,
"Kingswood - Werrington",45,12,708,98,827,342,951,593,665,121,377,104,399,329,644,640,1196,107,334,314,170,6327,15293,
"Mulgoa - Luddenham - Orchard Hills",97,26,369,82,788,158,460,239,303,55,207,121,260,124,322,359,447,73,244,181,57,2487,7461,
"Penrith",46,9,401,63,535,181,679,416,337,76,236,101,291,219,461,409,736,71,212,202,74,5346,11110,
"Warragamba - Silverdale",71,22,224,53,470,90,240,137,179,20,61,53,123,80,146,207,229,18,155,107,27,1348,4054,
"Richmond - Clarendon",157,30,455,65,731,160,664,403,287,96,135,81,272,159,615,546,751,145,244,261,67,5094,11428,
"Windsor - Bligh Park",111,11,663,119,1030,265,796,435,424,95,186,111,297,226,633,557,790,107,337,346,92,4490,12117,
"Yarramundi - Londonderry",121,9,221,40,633,101,287,137,257,29,57,41,127,88,173,208,257,78,175,128,49,2853,6065,
"Erskine Park",4,4,348,62,440,159,356,215,307,48,170,60,148,112,227,226,394,56,167,132,36,1528,5194,
"St Clair",43,11,901,139,1227,462,1152,567,924,149,474,154,424,337,624,612,1021,106,418,395,115,5500,15750,
"Colyton - Oxley Park",28,4,453,74,549,218,559,265,504,58,183,78,165,174,257,254,549,64,176,251,103,4200,9172,
"St Marys - North St Marys",31,10,589,89,617,291,666,408,573,78,253,74,210,301,312,306,761,76,227,359,127,6398,12755,
